1,1
308,1
98,1
87,1
19,4
92,1
64,2
67,3
35,4
10,2
25,3
43,3
103,2
22,2
21,4
99,1
37,2
65,1
33,4
36,1
100,2
57,2
14,4
30,4
26,6
12,7
77,2
96,1
93,2
97,3
28,2
44,2
7,5
6,4
80,1
72,3
61,2
13,1
102,3
47,3
34,1
104,1
32,5
38,3
9,6
8,6
94,1
332,1
15,2
83,1
4,1
40,2
73,1
101,3
76,2
63,2
11,4
29,3
56,2
16,2
126,1
149,1
158,1
23,1
45,1
1001,1
18,2
153,1
193,2
17,3
463,1
239,1
720,1
559,1
203,1
74,1
124,2
84,1
50,2
24,5
150,1
20,2
42,2
46,1
702,1
31,2
82,1
70,1
95,1
136,1
55,2
140,1
89,2
154,1
108,1
259,1
180,1
174,1
59,1
78,1
68,1
