source,target
1108409117419454466,2737009538
1108409117419454466,3300801132
1108409117419454466,788045303408652293
1108409117419454466,1326888896534351875
1108409117419454466,1142761966139822080
1108409117419454466,1468277442880147461
1108409117419454466,1168014519454638080
1108409117419454466,1103441656383266817
1108409117419454466,1298680151631450114
1108409117419454466,1395110428485865473
1108409117419454466,1438557814369173504
1108409117419454466,1427467109144186883
1108409117419454466,979060316070907904
1108409117419454466,2468046332
1108409117419454466,1416511267771195394
1108409117419454466,1348954508215406593
1108409117419454466,1401911288436072448
1108409117419454466,888638521212272640
1108409117419454466,1406436433775190026
1108409117419454466,1396828847212044296
1108409117419454466,1051269283031015424
1108409117419454466,1392402779004624897
1108409117419454466,1304145751233228800
1108409117419454466,1387168164857925632
1108409117419454466,1387160885890846725
1108409117419454466,1387018082208583685
1108409117419454466,1384796274684215296
1108409117419454466,1384791429608886273
1108409117419454466,866259130960535553
1108409117419454466,1185679770325000192
1108409117419454466,922889506130399233
1108409117419454466,1150481197140717569
1108409117419454466,1030168765118513152
1108409117419454466,934154029449572353
1108409117419454466,1360357666481205249
1108409117419454466,1358586108255289344
1108409117419454466,1358511542510252034
1108409117419454466,1303084940435877892
1108409117419454466,1356666438011023373
1108409117419454466,2893957252
1108409117419454466,1343237061441163264
1108409117419454466,1352349990518194184
1108409117419454466,1333158380928634881
1108409117419454466,1093474549755248640
1108409117419454466,2987000051
1108409117419454466,1012818836834410502
1108409117419454466,4613781035
1108409117419454466,1290735155141914627
1108409117419454466,1263901391128604672
1108409117419454466,1135169920470331392
1108409117419454466,942379414184185856
1108409117419454466,1096873608436166656
1108409117419454466,1190900594027958272
1108409117419454466,1182790672841097216
1108409117419454466,1307804234918887425
1108409117419454466,819833671213424640
1108409117419454466,1300102569759584265
1108409117419454466,1065636646564052993
1108409117419454466,794884796208050176
1108409117419454466,1293575308323557386
1108409117419454466,1291900947355111424
1108409117419454466,1291345974628163585
1108409117419454466,1274117685215969280
1108409117419454466,849409688466862081
1108409117419454466,1054323039805038592
1108409117419454466,1053388087127093248
1108409117419454466,1242877834743472137
1108409117419454466,1205417886535372800
1108409117419454466,1095682864656596992
1108409117419454466,2238799968
1108409117419454466,252691120
1108409117419454466,1003430400142831616
1108409117419454466,1202731760527777797
1108409117419454466,1262184115782197248
1108409117419454466,1259881435000963074
1108409117419454466,1172139026457010176
1108409117419454466,1154462270535196672
1108409117419454466,1234645288645689344
1108409117419454466,1235675157555011585
1108409117419454466,1135685061959913473
1108409117419454466,1245937501816205312
1108409117419454466,1244496013211115521
1108409117419454466,1225144416790290433
1108409117419454466,1236183255331811328
1108409117419454466,1224783093082591233
1108409117419454466,1182811076192296961
1108409117419454466,1236796255587753986
1108409117419454466,4246553662
1108409117419454466,1232008787663478784
1108409117419454466,977705927716622336
1108409117419454466,1100365786500288512
1108409117419454466,1148248306776231936
1108409117419454466,1231012783640252416
1108409117419454466,1188898506595078144
1108409117419454466,1230224330942013442
1108409117419454466,990856464771305472
1108409117419454466,1212435735761940480
1108409117419454466,974403609076158464
1108409117419454466,1116162519238959106
1108409117419454466,482476715
1108409117419454466,1226180565520572416
1108409117419454466,1225501783306440704
1108409117419454466,1223752077131833344
1108409117419454466,1196509192896602114
1108409117419454466,1192333046906867713
1108409117419454466,1223173155109384193
1108409117419454466,1222630096877518853
1108409117419454466,1221693231173447682
1108409117419454466,1211546847417749504
1108409117419454466,1204468245652279301
1108409117419454466,1214633046709850112
1108409117419454466,1212727406185701376
1108409117419454466,750658880628293632
1108409117419454466,1087051573438631936
1108409117419454466,1215858186026127362
1108409117419454466,879270671372746752
1108409117419454466,1203446207412080640
1108409117419454466,1214754432312860673
1108409117419454466,1214621103617986561
1108409117419454466,1213862875518783488
1108409117419454466,1184495687377018880
1108409117419454466,1186045417
1108409117419454466,1208812285122224129
1108409117419454466,956987365020569600
1108409117419454466,1204124589317603329
1108409117419454466,1210212750909153280
1108409117419454466,1188938360129241089
1108409117419454466,1038910392188194817
1108409117419454466,1205955479832322048
1108409117419454466,781227769443278849
1108409117419454466,1187998939670335488
1108409117419454466,833763614234378240
1108409117419454466,1163264404122738688
1108409117419454466,333928223
1108409117419454466,1119163368688865281
1108409117419454466,1103011551680827394
1108409117419454466,1165791717272014850
1108409117419454466,1203855484840742917
1108409117419454466,1536602545
1108409117419454466,1147451005786906624
1108409117419454466,921710879808241664
1108409117419454466,1135693240911433728
1108409117419454466,1128350203189317632
1108409117419454466,4889565682
1108409117419454466,1179499619845394432
1108409117419454466,4714375097
1108409117419454466,26835542
1108409117419454466,716709668379295744
1108409117419454466,826760665897562113
1108409117419454466,1198383899547713541
1108409117419454466,1130099904649547777
1108409117419454466,593056534
1108409117419454466,1200461139311779840
1108409117419454466,4018454062
1108409117419454466,1147605005442138117
1108409117419454466,1202310397476384768
1108409117419454466,727168503531356160
1108409117419454466,1178648880830963713
1108409117419454466,1199591621131743233
1108409117419454466,1175563931961778176
1108409117419454466,950421626222514176
1108409117419454466,1134603557762719744
1108409117419454466,1179465644389097473
1108409117419454466,1132536480763645953
1108409117419454466,1193979153952976898
1108409117419454466,1052309902075531264
1108409117419454466,1013867645186330626
1108409117419454466,1188332377451442177
1108409117419454466,996066863959461889
1108409117419454466,1031031037579730944
1108409117419454466,1161327107714293761
1108409117419454466,862464095899049984
1108409117419454466,1057668730140966914
